,inputs,outputs,intention
0,"[0, 0, 0.05128205128205128, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.09523809523809523, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 0, 0, 0.09523809523809523, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
1,"[0, 0, 0.05128205128205128, 1, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 1, 0.09523809523809523, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 0.09523809523809523, 0, 0, 0.2857142857142857]","[1, 0, 0, 0]",food move
2,"[0, 0, 0.05128205128205128, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523, 0, 0, 2.0]","[1, 0, 0, 0]",wall move
3,"[1, 0, 0.044444444444444446, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 1, 0.13333333333333333, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 0.13333333333333333, 0, 0, 0.2857142857142857]","[1, 0, 0, 0]",munch
4,"[0, 0, 0.05128205128205128, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523, 0, 0, 2.0]","[0, 1, 0, 0]",wall move
5,"[0, 0, 0.05128205128205128, 0, 1, 0.2857142857142857, 1, 0, 0.06060606060606061, 0, 0, 0.09523809523809523, 0, 0, 0.2857142857142857, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 0.09523809523809523]","[0, 0, 0, 1]",munch
6,"[0, 1, 0.05128205128205128, 0, 0, 0.6666666666666666, 1, 0, 0.05405405405405406, 0, 0, 0.09523809523809523, 0, 0, 0.6666666666666666, 0, 0, 0.05405405405405406, 0, 0, 0.6666666666666666, 0, 0, 0.09523809523809523]","[0, 1, 0, 0]",food move
7,"[0, 0, 0.08695652173913043, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.05405405405405406, 0, 0, 0.08695652173913043, 0, 0, 2.0, 1, 0, 0.05405405405405406, 0, 0, 2.0]","[0, 1, 0, 0]",wall move
8,"[1, 0, 0.03389830508474576, 0, 0, 0.08695652173913043, 0, 0, 0.11764705882352941, 0, 0, 2.0, 0, 0, 0.08695652173913043, 0, 0, 0.11764705882352941, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
9,"[0, 1, 0.08, 0, 0, 0.15384615384615385, 1, 0, 0.07407407407407407, 0, 0, 0.05714285714285714, 0, 0, 0.15384615384615385, 0, 0, 0.08, 0, 0, 0.15384615384615385, 1, 0, 0.07407407407407407]","[0, 1, 0, 0]",food move
10,"[0, 0, 0.05405405405405406, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.08695652173913043, 0, 0, 2.0, 0, 0, 0.05405405405405406, 0, 0, 2.0, 1, 0, 0.08695652173913043]","[0, 1, 0, 0]",wall move
11,"[0, 0, 0.4, 0, 0, 0.06896551724137931, 0, 1, 0.18181818181818182, 1, 0, 0.03636363636363636, 0, 0, 0.4, 0, 0, 0.4, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
12,"[0, 0, 0.4, 1, 0, 0.06060606060606061, 0, 1, 0.2857142857142857, 0, 0, 0.03636363636363636, 0, 0, 0.4, 0, 0, 0.4, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857]","[0, 0, 1, 0]",munch
13,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",wall move
14,"[0, 0, 0.07407407407407407, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06060606060606061, 0, 0, 2.0, 0, 0, 0.07407407407407407, 0, 0, 2.0, 0, 0, 0.06060606060606061]","[0, 1, 0, 0]",wall move
15,"[0, 0, 0.6666666666666666, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.03508771929824561, 0, 0, 0.6666666666666666, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0]","[0, 1, 0, 0]",wall move
16,"[0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 2.0]","[0, 0, 1, 0]",wall move
17,"[0, 0, 0.05714285714285714, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.08, 0, 0, 2.0, 0, 0, 0.05714285714285714, 0, 0, 2.0, 0, 1, 0.08]","[1, 0, 0, 0]",wall move
18,"[1, 0, 0.03389830508474576, 0, 0, 0.4, 0, 0, 0.05714285714285714, 0, 0, 2.0, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 1, 0]",wall move
19,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
20,"[0, 0, 0.15384615384615385, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.0425531914893617, 0, 0, 2.0, 0, 0, 0.15384615384615385, 0, 0, 2.0, 1, 0, 0.05128205128205128]","[0, 1, 0, 0]",wall move
21,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
22,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
23,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
24,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
25,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
26,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
27,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
28,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
29,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
30,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
31,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
32,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
33,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
34,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
35,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
36,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
37,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
38,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
39,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
40,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
41,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
42,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
43,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
44,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
45,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
46,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
47,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
48,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
49,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
50,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
51,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
52,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
53,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
54,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
55,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
56,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
57,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
58,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
59,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
60,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
61,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
62,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
63,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
64,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
65,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
66,"[1, 0, 0.04081632653061224, 0, 0, 0.4, 0, 1, 0.05714285714285714, 0, 0, 0.18181818181818182, 0, 0, 0.4, 1, 0, 0.05714285714285714, 0, 0, 0.4, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
