,inputs,outputs,intention
0,"[0, 0, 0.05128205128205128, 0, 0, 0.06896551724137931, 0, 1, 0.18181818181818182, 1, 0, 0.09523809523809523, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 0, 0, 0.09523809523809523, 0, 0, 0.18181818181818182]","[0, 0, 1, 0]",food move
1,"[0, 0, 0.05128205128205128, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.09523809523809523, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 0, 0, 0.09523809523809523, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
2,"[0, 1, 0.05128205128205128, 1, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 0, 0, 0.09523809523809523, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 1, 0, 0.09523809523809523, 0, 0, 0.2222222222222222]","[0, 1, 0, 0]",food move
3,"[1, 0, 0.04878048780487805, 0, 0, 0.08695652173913043, 0, 1, 0.11764705882352941, 0, 0, 0.10526315789473684, 0, 0, 0.08695652173913043, 1, 0, 0.11764705882352941, 0, 0, 0.10526315789473684, 0, 0, 0.11764705882352941]","[0, 0, 1, 0]",munch
4,"[0, 0, 0.06451612903225806, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.06896551724137931, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
5,"[0, 1, 0.06060606060606061, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 1, 0, 0.07407407407407407, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 0, 0, 0.07407407407407407, 0, 0, 0.2222222222222222]","[0, 1, 0, 0]",munch
6,"[0, 0, 0.05128205128205128, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.09523809523809523, 0, 0, 2.0]","[0, 1, 0, 0]",wall move
7,"[0, 0, 0.046511627906976744, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.11764705882352941, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.11764705882352941, 0, 0, 2.0]","[1, 0, 0, 0]",wall move
8,"[0, 0, 0.09523809523809523, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.05128205128205128, 0, 0, 0.09523809523809523, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
9,"[1, 0, 0.03389830508474576, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 0, 0, 2.0, 0, 0, 0.06451612903225806, 0, 0, 0.2222222222222222, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 1, 0]",wall move
10,"[0, 0, 0.04878048780487805, 1, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684, 0, 0, 2.0]","[1, 0, 0, 0]",wall move
11,"[0, 0, 0.15384615384615385, 0, 1, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.0425531914893617, 0, 0, 0.15384615384615385, 0, 0, 0.18181818181818182, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",food move
12,"[0, 0, 0.04878048780487805, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.10526315789473684, 0, 0, 2.0, 0, 0, 0.05128205128205128, 0, 0, 2.0, 0, 0, 0.10526315789473684]","[1, 0, 0, 0]",wall move
13,"[0, 0, 0.09523809523809523, 0, 1, 0.10526315789473684, 1, 0, 0.09523809523809523, 0, 0, 0.05128205128205128, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523, 0, 0, 0.10526315789473684, 0, 0, 0.09523809523809523]","[0, 0, 0, 1]",munch
14,"[0, 1, 0.046511627906976744, 0, 0, 0.2857142857142857, 1, 0, 0.06060606060606061, 0, 0, 0.11764705882352941, 0, 0, 0.2857142857142857, 0, 0, 0.06060606060606061, 0, 0, 0.2857142857142857, 0, 0, 0.11764705882352941]","[0, 1, 0, 0]",food move
15,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
16,"[0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182, 1, 0, 0.03389830508474576, 0, 0, 2.0, 0, 0, 2.0, 0, 0, 0.06896551724137931, 0, 0, 0.18181818181818182]","[0, 0, 0, 1]",wall move
17,"[0, 0, 0.07407407407407407, 0, 0, 2.0, 1, 0, 0.05128205128205128, 0, 0, 0.06060606060606061, 0, 0, 2.0, 0, 0, 0.07407407407407407, 0, 0, 2.0, 0, 0, 0.06060606060606061]","[0, 1, 0, 0]",wall move
18,"[1, 0, 0.03389830508474576, 0, 0, 0.2222222222222222, 0, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 0.2222222222222222, 1, 0, 0.06451612903225806, 0, 0, 2.0, 0, 0, 2.0]","[0, 0, 0, 1]",wall move
